area,site_id,round,P1 Date,P2 Date,Days Apart
pittmeadows,bks_neaves,2024_r1,19814,19814,0
pittmeadows,gwb_neaves,2024_r1,19814,19814,0
delta_3,bates_57b,2024_r1,19829,19829,0
surrey,surjit_168,2024_r1,19837,19837,0
delta_1,bks_68,2024_r1,19846,19846,0
delta_1,chong_68,2024_r1,19846,19846,0
delta_2,bks_96,2024_r1,19849,19849,0
delta_2,chong_96,2024_r1,19849,19849,0
delta_3,bks_56,2024_r1,19849,19849,0
surrey,avtar_168,2024_r1,19866,19866,0
delta_4,lbf_ladnertrunk,2024_r1,19881,19881,0
delta_4,sandhu_ladnertrunk,2024_r1,19881,19881,0
